demre_code,weighted_threshold,unique_code,nem_weight,ranking_weight,math_weight,lang_weight,hist_weight,scie_weight,other_wieight,tipoies,region,nombreies,nombrecarrera,jornada,ingreso_directo
0,0.0,I70S1C49J1V2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL ELECTRICA,Diurno,1
0,0.0,I70S1C50J1V2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL EN BIOTECNOLOGIA,Diurno,1
0,0.0,I70S1C51J1V2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL EN COMPUTACION,Diurno,1
0,0.0,I70S1C53J1V2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL DE MINAS,Diurno,1
0,0.0,I70S1C54J1V2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL INDUSTRIAL,Diurno,1
0,0.0,I70S1C55J1V2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL MATEMATICA,Diurno,1
0,0.0,I70S1C56J1V2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL MECANICA,Diurno,1
0,0.0,I70S1C57J1V2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL QUIMICA,Diurno,1
11042,698.3,I70S1C58J1V1,10.0,20.0,50.0,10.0,10.0,10.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA COMERCIAL,Diurno,0
11029,669.5,I70S1C5J1V1,20.0,20.0,25.0,10.0,0.0,25.0,0.0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,BIOLOGIA CON MENCION EN MEDIO AMBIENTE,Diurno,0
