demre_code,weighted_threshold,unique_code,nem_weight,ranking_weight,math_weight,lang_weight,hist_weight,scie_weight,other_weight
12052,627,I86S5C1135J1V1,20,20,20,20,0,20,0
12054,638.8,I86S5C76J1V1,20,20,35,10,0,15,0
12055,706.8,I86S5C202J1V1,20,20,35,10,0,15,0
12056,728.7,I86S1C342J1V1,20,25,20,10,0,25,0
12057,718.65,I86S5C208J1V1,20,25,20,10,0,25,0
12058,804.3,I86S1C117J1V2,20,20,20,15,0,25,0
12059,630.95,I86S3C75J1V2,20,20,25,20,15,15,0
12060,673.2,I86S5C557J1V1,20,25,20,10,0,25,0
12061,685.6,I86S5C535J1V1,20,25,20,10,0,25,0
12062,601.1,I86S5C562J1V1,20,25,20,10,0,25,0
12070,649.5,I86S5C649J1V1,20,20,20,30,10,0,0
12071,604.7,I86S5C1271J1V1,20,20,30,20,10,0,0
12089,658.2,I86S5C1140J1V1,20,20,40,10,0,10,0
12096,510,I86S2C121J1V1,10,40,20,20,10,10,0
12097,508.3,I86S2C571J1V1,10,40,20,20,10,10,0
13001,516.5,I87S1C64J1V1,15,25,30,10,0,20,0
13002,530.67,I87S1C62J1V1,15,25,35,10,0,15,0
13003,511.35,I87S1C208J1V1,15,25,35,10,0,15,0
13004,537.7,I87S1C2J1V1,15,25,35,15,0,10,0
13006,501.3,I87S2C1J1V1,15,25,35,15,0,10,0
13007,596.9,I87S2C101J1V1,15,25,40,10,0,10,0
13008,508.5,I87S1C44J1V1,15,25,30,20,0,10,0
13009,513.1,I87S2C46J1V2,15,25,35,15,0,10,0
13011,645.1,I87S1C101J1V1,15,25,40,10,0,10,0
13012,617.35,I87S1C229J1V1,15,25,35,15,0,10,0
13013,580.9,I87S1C7J1V1,15,25,35,15,0,10,0
13014,562.3,I87S1C6J1V1,15,25,35,15,0,10,0
13015,672.55,I87S1C43J1V1,15,25,30,20,0,10,0
13016,531.4,I87S1C233J1V1,15,25,35,10,0,15,0
13018,506.1,I87S1C230J1V1,15,25,25,20,15,0,0
13019,602.45,I87S1C54J1V1,15,25,35,15,10,10,0
13020,502.5,I87S1C260J1V1,15,25,30,15,0,15,0
13022,503.3,I87S1C4J1V1,15,25,30,20,10,0,0
13023,622.2,I87S1C580J1V1,15,25,10,20,30,0,0
13024,665.9,I87S1C11J1V1,15,25,25,25,10,0,0
13025,555.85,I87S1C16J1V1,15,25,25,25,10,0,0
13026,540.8,I87S1C240J1V1,15,25,25,20,15,15,0
13027,500.4,I87S1C37J1V1,15,25,25,25,10,0,0
