unique_code,tipoies,region,nombreies,nombrecarrera
I70S1C505J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN NUTRICION Y ALIMENTOS
I70S1C506J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN SISTEMAS DE INGENIERIA
I70S1C507J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN CIENCIAS DE LA INGENIERIA MENCION FLUIDO DINAMICA
I70S1C508J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN CIENCIAS MENCION GEOLOGIA
I70S1C50J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL EN BIOTECNOLOGIA
I70S1C50J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL EN BIOTECNOLOGIA
I70S1C510J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN CIENCIAS DE LA INGENIERIA MENCION MODELACION MATEMATICA
I70S1C511J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN CIENCIAS DE LA INGENIERIA MENCION CIENCIAS DE LOS MATERIALES
I70S1C512J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN CIENCIAS MENCION COMPUTACION
I70S1C513J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN CIENCIAS MENCION ASTRONOMIA
I70S1C514J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN INGENIERIA ELECTRICA
I70S1C515J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN BIOQUIMICA
I70S1C516J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN FARMACOLOGIA
I70S1C517J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN CIENCIAS SOCIALES
I70S1C518J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN PSICOTERAPIA
I70S1C519J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN CIENCIAS CON MENCION EN FISICA
I70S1C51J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL EN COMPUTACION
I70S1C51J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL EN COMPUTACION
I70S1C520J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN QUIMICA
I70S1C521J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN DERECHO
I70S1C522J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN ECONOMIA
I70S1C523J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN LITERATURA CON MENCION EN LITERATURA CHILENA E HISPANOAMERICANA
I70S1C524J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN ACUICULTURA
I70S1C525J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN CIENCIAS BIOMEDICAS
I70S1C526J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DOCTORADO EN CIENCIAS MEDICAS
I70S1C527J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN GESTION Y PLANIFICACION AMBIENTAL
I70S1C528J5V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN DIRECCION Y ADMINISTRACION DE PROYECTOS INMOBILIARIOS
I70S1C529J5V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN HABITAT RESIDENCIAL
I70S1C530J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN GEOGRAFIA MENCION ORGANIZACION URBANO-REGIONAL
I70S1C531J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN GEOGRAFIA MENCION RECURSOS TERRITORIALES
I70S1C532J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN ARTES CON MENCION EN COMPOSICION MUSICAL
I70S1C533J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN ARTES MENCION TEORIA E HISTORIA DEL ARTE
I70S1C534J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN ARTES MEDIALES
I70S1C535J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN GESTION CULTURAL
I70S1C536J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN ARTES MENCION MUSICOLOGIA
I70S1C537J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN CIENCIAS BIOLOGICAS
I70S1C538J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN CIENCIAS MATEMATICAS
I70S1C539J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN CIENCIAS QUIMICAS
I70S1C53J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL DE MINAS
I70S1C53J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL DE MINAS
I70S1C541J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN ENOLOGIA Y VITIVINICULTURA
I70S1C546J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN MANEJO DE SUELOS Y AGUAS
I70S1C547J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN CIENCIAS DE LA ACUICULTURA
I70S1C548J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN GESTION Y POLITICAS PUBLICAS
I70S1C549J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN TECNOLOGIA DE LA INFORMACION
I70S1C54J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL INDUSTRIAL
I70S1C54J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL INDUSTRIAL
I70S1C550J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN METEOROLOGIA Y CLIMATOLOGIA
I70S1C551J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN GESTION PARA LA GLOBALIZACION
I70S1C552J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN CIENCIAS MENCION COMPUTACION
I70S1C553J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN CIENCIAS DE LA INGENIERIA MENCION ELECTRICA
I70S1C554J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN CIENCIAS DE LA INGENIERIA MENCION MECANICA
I70S1C555J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN CIENCIAS DE LA INGENIERIA MENCION QUIMICA
I70S1C556J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN CIENCIAS DE LA INGENIERIA MENCION TRANSPORTE
I70S1C557J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN CIENCIAS DE LA INGENIERIA MENCION METALURGIA EXTRACTIVA
I70S1C558J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN CIENCIAS MENCION ASTRONOMIA
I70S1C559J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN CIENCIAS MENCION GEOLOGIA
I70S1C55J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL MATEMATICA
I70S1C55J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL MATEMATICA
I70S1C560J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN ECONOMIA APLICADA
I70S1C561J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN GESTION Y DIRECCION DE EMPRESAS
I70S1C562J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN GESTION DE OPERACIONES
I70S1C563J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN CIENCIAS DE LA INGENIERIA MENCION INGENIERIA SISMICA
I70S1C564J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MAGISTER EN MINERIA
