unique_code,tipoies,region,nombreies,nombrecarrera
I76S1C202J4V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN EPIDEMIOLOGIA CLINICA (A DISTANCIA)
I76S1C203J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN CIENCIAS MEDICAS MENCION CIRUGIA
I76S1C204J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN GESTION Y MANEJO AGROPECUARIO
I76S1C205J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN PLANIFICACION TERRITORIAL AMBIENTAL
I76S1C206J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN CIENCIAS MEDICAS MENCION MASTOLOGIA
I76S1C207J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN CIENCIAS DE LA INGENIERIA MENCION BIOTECNOLOGIA
I76S1C208J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN PSICOLOGIA JURIDICA Y FORENSE
I76S1C209J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN SISTEMAS DE GESTION INTEGRAL DE CALIDAD
I76S1C20J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MEDICINA
I76S1C210J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN CIENCIAS DE LA INGENIERIA MENCION INGENIERIA ELECTRICA
I76S1C211J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN EDUCACION MATEMATICA
I76S1C212J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN CIENCIAS AGROPECUARIAS
I76S1C213J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN CIENCIAS DE LA INGENIERIA MENCION MODELACION MATEMATICA
I76S1C214J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN FISICA MEDICA
I76S1C215J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN ENFERMERIA MENCION GESTION DEL CUIDADO
I76S1C216J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN GERENCIA SOCIAL
I76S1C217J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN CIENCIAS DE LA INGENIERIA MENCION INGENIERIA MECANICA
I76S1C218J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN EDUCACION FISICA CON MENCION
I76S1C219J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,DOCTORADO Y MAGISTER EN CIENCIAS DE RECURSOS NATURALES
I76S1C21J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,NUTRICION Y DIETETICA
I76S1C220J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,DOCTORADO EN CIENCIAS MENCION BIOLOGIA CELULAR Y MOLECULAR APLICADA
I76S1C221J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,DOCTORADO EN CIENCIAS MEDICAS
I76S1C222J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,DOCTORADO EN CIENCIAS DE LA EDUCACION
I76S1C22J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,OBSTETRICIA Y PUERICULTURA
I76S1C233J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,TERAPIA OCUPACIONAL
I76S1C234J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,DOCTORADO EN INGENIERIA
I76S1C234J1V2,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,DOCTORADO EN INGENIERIA
I76S1C235J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN SALUD PUBLICA COMUNITARIA Y DESARROLLO LOCAL
I76S1C236J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN CIENCIAS MENCION FISICA
I76S1C237J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN INNOVACION DE LA DOCENCIA UNIVERSITARIA EN CIENCIAS DE LA SALUD
I76S1C238J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,ESPECIALIZACION EN PERINATOLOGIA
I76S1C239J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,ESPECIALIZACION EN ENFERMERIA
I76S1C23J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,ODONTOLOGIA
I76S1C240J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PROGRAMA DE FORMACION DE MEDICO ESPECIALISTA EN CIRUGIA PEDIATRICA
I76S1C241J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,ESPECIALIDAD EN PSICOTERAPIA FAMILIAR SISTEMICA
I76S1C242J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,ESPECIALIDAD EN ODONTOPEDIATRIA
I76S1C243J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,ESPECIALIDAD EN ORTODONCIA Y ORTOPEDIA DENTOMAXILOFACIAL
I76S1C244J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA EJECUCION MECANICA
I76S1C255J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,ESPECIALIDAD EN ANESTESIOLOGIA Y REANIMACION
I76S1C256J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,BIOQUIMICA
I76S1C257J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,ESPECIALIDAD/MAGISTER EN ANATOMIA PATOLOGICA
I76S1C258J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,ESPECIALIDAD/MAGISTER EN TRASTORNOS TEMPOROMANDIBULARES Y DOLOR OROFACIAL
I76S1C259J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,ESPECIALIDAD EN IMAGENOLOGIA
I76S1C260J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN MANEJO DE RECURSOS NATURALES
I76S1C261J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN ODONTOLOGIA
I76S1C262J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER/ESPECIALIDAD EN PSICOLOGIA JURIDICA FORENSE
I76S1C263J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER/ESPECIALIDAD EN TERAPIA FAMILIAR SISTEMICA
I76S1C264J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER/ESPECIALIDAD EN PSICOLOGIA COMUNITARIA
I76S1C265J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,DOCTORADO EN PSICOLOGIA
I76S1C26J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PEDAGOGIA EN CASTELLANO Y COMUNICACION
I76S1C275J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,DERECHO
I76S1C276J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,DOCTORADO EN CIENCIAS MORFOLOGICAS
I76S1C277J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN ESTUDIOS Y DESARROLLO DE LA FAMILIA
I76S1C278J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PEDAGOGIA EN INGLES
I76S1C279J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PROGRAMA DE FORMACION DE MEDICO SUBESPECIALIDAD EN CARDIOLOGIA INTERVENCIONAL DEL ADULTO
I76S1C27J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PEDAGOGIA EN HISTORIA Y GEOGRAFIA Y EDUCACION CIVICA
I76S1C280J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA CIVIL MECANICA
I76S1C280J1V2,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA CIVIL MECANICA
I76S1C28J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PERIODISMO
I76S1C293J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,BACHILLERATO EN CIENCIAS SOCIALES
I76S1C294J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA CIVIL
I76S1C294J1V2,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA CIVIL
I76S1C295J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA CIVIL FISICA
I76S1C295J1V2,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA CIVIL FISICA
I76S1C296J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA CIVIL INFORMATICA
I76S1C296J1V2,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA CIVIL INFORMATICA
I76S1C29J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PSICOLOGIA
I76S1C308J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,"MAGISTER EN EDUCACION MATEMATICA, EDUCACION BASICA"
I76S1C310J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA CIVIL QUIMICA
I76S1C310J1V2,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA CIVIL QUIMICA
I76S1C311J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,QUIMICA Y FARMACIA
I76S1C31J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,SOCIOLOGIA
I76S1C320J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,DOCTORADO EN CIENCIAS SOCIALES
I76S1C321J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,DOCTORADO EN CIENCIAS DE LA INGENIERIA M. BIOPROCESOS
I76S1C322J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,ESPECIALIDAD EN ENDODONCIA
I76S1C323J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,ESPECIALIDAD EN REHABILITACION ORAL
I76S1C324J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,ESPECIALIDAD ENFERMERIA EN CUIDADO INTENSIVO ADULTO
I76S1C325J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,ESPECIALIDAD ENFERMERIA EN CUIDADO ADULTO MAYOR
I76S1C326J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,ESPECIALIDAD ENFERMERIA EN CUIDADO INTENSIVO INFANTIL
I76S1C327J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,ESPECIALIDAD ENFERMERIA EN GESTION DEL CUIDADO DEL PABELLON QUIRURGICO
I76S1C328J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,ESPECIALIDAD ENFERMERIA EN PERSONAS ALTERACIONES RENALES
I76S1C329J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PROGRAMA DE FORMACION DE MEDICO ESPECIALISTA EN MEDICINA DE URGENCIA DE ADULTOS
I76S1C330J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PROGRAMA DE FORMACION DE MEDICO ESPECIALISTA EN OFTALMOLOGIA
I76S1C331J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,ESPECIALIZACION EN INGENIERIA DE SOFTWARE
I76S1C332J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN INGENIERIA INFORMATICA
I76S1C335J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,DOCTORADO EN CIENCIAS AGROALIMENTARIAS Y MEDIO AMBIENTE
I76S1C336J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,DOCTORADO EN COMUNICACION
I76S1C337J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,ESPECIALIDAD ENFERMERIA EN EL RECIEN NACIDO PATOLOGICO
I76S1C338J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,ESPECIALIDAD ENFERMERIA FAMILIAR COMUNITARIA
I76S1C339J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,ESPECIALIDAD EN FISICA MEDICA
I76S1C340J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN ADMINISTRACION Y EMPRESAS (MBA)
I76S1C341J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN TERAPIA FISICA CON MENCION
I76S1C342J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PROGRAMA DE FORMACION MEDICO ESPECIALISTA EN RADIOLOGIA
I76S1C343J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PROGRAMA DE FORMACION MEDICO DE SUBESPECIALIDAD EN NEONATOLOGIA
I76S1C344J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PROGRAMA DE FORMACION MEDICO DE SUBESPECIALIDAD EN NEUROCIRUGIA
I76S1C347J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,ESPECIALIDAD EN TRASTORNOS TEMPOROMANDIBULARES Y DOLOR OROFACIAL
I76S1C34J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,TECNOLOGIA MEDICA
I76S1C350J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PROGRAMA DE FORMACION DE MEDICO ESPECIALISTA EN MEDICINA LEGAL
I76S1C351J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PROGRAMA DE FORMACION DE MEDICO ESPECIALISTA EN PSIQUIATRIA PEDIATRICA Y DE LA ADOLESCENCIA
I76S1C355J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,ESPECIALIDAD ENFERMERIA EN CUIDADO NIÑO HOSPITALIZADO
I76S1C365J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PROGRAMA DE FORMACION MEDICO DE SUBESPECIALIDAD EN ELECTROFISIOLOGIA CARDIACA
I76S1C371J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA CIVIL INDUSTRIAL
I76S1C372J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MEDICINA VETERINARIA
I76S1C376J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN CIENCIAS DE LA INGENIERIA
I76S1C377J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN INNOVACION Y GESTION AGROALIMENTARIA
I76S1C37J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,LICENCIATURA EN FISICA APLICADA
I76S1C38J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,DOCTORADO EN CIENCIAS MENCION MATEMATICAS
I76S1C3J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,CONTADOR PUBLICO Y CONTADOR AUDITOR
I76S1C41J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN CIENCIAS SOCIALES APLICADAS
I76S1C42J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN CIENCIAS DE LA COMUNICACION
I76S1C43J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN EPIDEMIOLOGIA CLINICA
I76S1C44J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN EDUCACION
I76S1C46J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN INFORMATICA EDUCATIVA
I76S1C47J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN PSICOLOGIA
I76S1C48J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN CIENCIAS MENCION BIOLOGIA DE LA REPRODUCCION
I76S1C49J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,"MAGISTER EN DESARROLLO HUMANO, LOCAL Y REGIONAL"
I76S1C4J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,ENFERMERIA
I76S1C50J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,MAGISTER EN CIENCIAS MENCION MORFOLOGIA
I76S1C51J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PROGRAMA DE FORMACION DE MEDICO ESPECIALISTA EN CIRUGIA GENERAL
I76S1C52J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PROGRAMA DE FORMACION DE MEDICO ESPECIALISTA EN MEDICINA INTERNA
I76S1C54J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PROGRAMA DE FORMACION DE MEDICO ESPECIALISTA EN OBSTETRICIA Y GINECOLOGIA
I76S1C55J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PROGRAMA DE FORMACION DE MEDICO ESPECIALISTA EN PEDIATRIA
I76S1C56J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PROGRAMA DE FORMACION DE MEDICO ESPECIALISTA EN UROLOGIA
I76S1C57J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PROGRAMA DE FORMACION DE MEDICO ESPECIALISTA EN ANATOMIA PATOLOGICA
I76S1C58J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PROGRAMA DE FORMACION DE MEDICO ESPECIALISTA EN MEDICINA FAMILIAR
I76S1C5J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA DE EJECUCION AGRICOLA
I76S1C60J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PROGRAMA DE FORMACION DE MEDICO SUBESPECIALIDAD EN CARDIOLOGIA DE ADULTOS
I76S1C61J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PROGRAMA DE FORMACION DE MEDICO ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA INFANTIL
I76S1C6J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA FORESTAL
I76S1C75J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PROGRAMA DE FORMACION DE MEDICO ESPECIALISTA EN PSIQUIATRIA
I76S1C77J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,"PEDAGOGIA EN EDUCACION FISICA, DEPORTES Y RECREACION"
I76S1C78J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PEDAGOGIA EN MATEMATICAS
I76S1C79J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA CIVIL INDUSTRIAL MENCION BIOPROCESOS
I76S1C7J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA AMBIENTAL
I76S1C80J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA INFORMATICA
I76S1C81J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA ELECTRICA
I76S1C82J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA ELECTRONICA
I76S1C83J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,"PEDAGOGIA EN CIENCIAS MENCION BIOLOGIA, QUIMICA O FISICA"
I76S1C87J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,FONOAUDIOLOGIA
I76S1C88J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,BIOTECNOLOGIA
I76S1C89J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA EN RECURSOS NATURALES
I76S1C8J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA CIVIL ELECTRONICA
I76S1C8J1V2,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA CIVIL ELECTRONICA
I76S1C90J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA CIVIL TELEMATICA
I76S1C90J1V2,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA CIVIL TELEMATICA
I76S1C91J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA CIVIL INDUSTRIAL MENCION MECANICA
I76S1C92J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PLAN COMUN INGENIERIA CIVIL
I76S1C92J1V2,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PLAN COMUN INGENIERIA CIVIL
I76S1C92J1V3,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,PLAN COMUN INGENIERIA CIVIL
I76S1C93J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA CIVIL ELECTRICA
I76S1C93J1V2,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA CIVIL ELECTRICA
I76S1C94J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA CIVIL MATEMATICA
I76S1C94J1V2,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA CIVIL MATEMATICA
I76S1C95J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA CIVIL AMBIENTAL
I76S1C95J1V2,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA CIVIL AMBIENTAL
I76S1C96J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA DE EJECUCION EN INFORMATICA
I76S1C97J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA DE EJECUCION EN ELECTRICIDAD
I76S1C98J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA DE EJECUCION EN ELECTRONICA
I76S1C99J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,"PEDAGOGIA EN EDUCACION FISICA, DEPORTES Y RECREACION VARONES"
I76S2C281J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,INGENIERIA EN GESTION TURISTICA
I76S2C282J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,TECNICO GUIA DE TURISMO AVENTURA
I76S2C283J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,TECNICO SUPERIOR EN TURISMO
I76S2C297J1V1,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,TECNICO UNIVERSITARIO EN ENFERMERIA
I76S2C297J1V2,Universidades,REGION DE LA ARAUCANIA,UNIVERSIDAD DE LA FRONTERA,TECNICO UNIVERSITARIO EN ENFERMERIA
I77S1C102J2V1,Universidades,REGION DE MAGALLANES Y DE LA ANTARTICA CHILENA,UNIVERSIDAD DE MAGALLANES,MAGISTER EN CIENCIAS ANTARTICAS MENCION GLACIOLOGIA
I77S1C108J2V1,Universidades,REGION DE MAGALLANES Y DE LA ANTARTICA CHILENA,UNIVERSIDAD DE MAGALLANES,CONSTRUCCION CIVIL
I77S1C109J2V1,Universidades,REGION DE MAGALLANES Y DE LA ANTARTICA CHILENA,UNIVERSIDAD DE MAGALLANES,TECNICO EN ADMINISTRACION
I77S1C109J2V2,Universidades,REGION DE MAGALLANES Y DE LA ANTARTICA CHILENA,UNIVERSIDAD DE MAGALLANES,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION
I77S1C11J1V1,Universidades,REGION DE MAGALLANES Y DE LA ANTARTICA CHILENA,UNIVERSIDAD DE MAGALLANES,INGENIERIA COMERCIAL
