demre_code,weighted_threshold,unique_code,nem_weight,ranking_weight,math_weight,lang_weight,hist_weight,scie_weight,other_weight,tipoies,region,nombreies,nombrecarrera
11070,647.3,I70S1C178J1V1,20,20,20,25,15,0,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,SOCIOLOGIA
11072,600.3,I70S1C83J1V1,10,20,15,35,20,0,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,LICENCIATURA EN LINGÜISTICA Y LITERATURA
11078,659.95,I70S1C184J1V1,20,20,25,25,10,10,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,PROGRAMA ACADEMICO DE BACHILLERATO
11080,691.5,I70S1C41J1V1,10,20,30,10,0,30,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ENFERMERIA
11081,600.2,I70S1C42J1V1,10,20,30,10,0,30,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,FONOAUDIOLOGIA
11082,667.5,I70S1C66J1V1,10,20,30,10,0,30,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,KINESIOLOGIA
11083,780.0,I70S1C158J1V1,10,20,30,10,0,30,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,MEDICINA
11084,646.2,I70S1C159J1V1,10,20,30,10,0,30,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,NUTRICION Y DIETETICA
11085,693.8,I70S1C160J1V1,10,20,30,10,0,30,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,OBSTETRICIA Y PUERICULTURA
11086,700.6,I70S1C180J1V1,10,20,30,10,0,30,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TECNOLOGIA MEDICA
11087,631.3,I70S1C181J1V1,10,20,30,10,0,30,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TERAPIA OCUPACIONAL
11090,674.4,I70S1C455J1V1,10,30,15,30,15,15,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,CINE Y TELEVISION
11095,701.55,I70S1C161J1V1,10,20,20,15,0,35,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ODONTOLOGIA
11508,660.4,I70S1C67J1V1,10,30,10,30,20,0,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DANZA
11520,612.5,I70S1C864J1V1,20,20,20,25,15,15,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TRABAJO SOCIAL
11521,604.3,I70S1C863J1V1,20,20,25,10,0,25,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,PEDAGOGIA EN EDUCACION MEDIA EN BIOLOGIA Y QUIMICA
11522,601.35,I70S1C862J1V1,30,20,15,20,15,15,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,PEDAGOGIA EN EDUCACION PARVULARIA
11523,600.55,I70S1C861J1V1,10,20,25,25,20,20,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,PEDAGOGIA EN EDUCACION BASICA
11524,691.8,I70S1C873J1V1,10,20,40,20,0,10,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA EN SONIDO
11525,712.2,I70S1C901J1V1,20,20,20,20,20,0,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ESTUDIOS INTERNACIONALES
11526,675.5,I70S1C911J1V1,10,30,20,20,20,0,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,CIENCIA POLITICA
12004,713.45,I86S4C4J1V1,20,20,35,15,10,10,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,ARQUITECTURA
12005,641.35,I86S3C61J1V1,20,30,15,20,15,0,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,LICENCIATURA EN ARTE
12006,675.25,I86S4C31J1V1,25,25,20,20,10,10,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,DISEÑO
12007,664.77,I86S3C1J1V1,20,20,15,25,20,0,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,ACTUACION
12008,603.3,I86S5C258J1V1,25,25,15,25,10,0,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,LETRAS HISPANICAS
12009,668.35,I86S5C259J1V1,25,25,15,25,10,0,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,LETRAS INGLESAS
12010,736.7,I86S1C63J1V1,20,20,30,10,0,20,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,BIOQUIMICA
12011,679.15,I86S1C66J1V1,20,20,25,10,0,25,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,BIOLOGIA
12012,664.45,I86S1C281J1V1,20,20,25,10,0,25,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,BIOLOGIA MARINA
12013,601.0,I86S5C400J1V1,20,30,30,10,0,10,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,AGRONOMIA E INGENIERIA FORESTAL
12014,727.0,I86S5C57J1V1,20,20,40,10,10,10,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,INGENIERIA COMERCIAL
12015,643.9,I86S5C10J1V1,25,25,10,25,15,0,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,LICENCIATURA EN TEOLOGIA
12017,736.5,I86S5C200J1V1,25,25,20,10,20,20,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,PSICOLOGIA
12018,608.2,I86S5C205J1V2,25,25,15,15,20,0,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,TRABAJO SOCIAL
12019,639.35,I86S5C203J1V1,20,25,20,20,15,0,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,SOCIOLOGIA
12021,719.5,I86S1C29J1V1,20,20,10,25,25,0,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,DERECHO
12022,654.9,I86S5C638J1V1,20,25,20,20,15,0,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,ANTROPOLOGIA-ARQUEOLOGIA
12023,575.35,I86S5C1145J1V1,30,30,15,15,10,10,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,PEDAGOGIA EN RELIGION CATOLICA PARA EDUCACION BASICA Y MEDIA
12024,571.75,I86S5C121J1V1,25,25,20,20,10,10,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,PEDAGOGIA EN EDUCACION GENERAL BASICA
12025,570.35,I86S5C47J1V1,25,25,20,20,10,10,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,PEDAGOGIA EN EDUCACION PARVULARIA
12026,647.2,I86S5C299J1V1,20,20,25,25,10,0,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,COLLEGE ARTES Y HUMANIDADES (LICENCIATURA)
12027,687.9,I86S5C301J1V1,20,20,35,10,0,15,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,COLLEGE CIENCIAS NATURALES Y MATEMATICAS (LICENCIATURA)
12028,609.7,I86S5C300J1V1,20,20,25,25,10,0,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,COLLEGE CIENCIAS SOCIALES (LICENCIATURA)
12029,654.23,I86S3C982J1V1,20,20,25,20,15,15,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,LICENCIATURA EN INTERPRETACION MUSICAL
12030,602.0,I86S5C68J1V1,25,25,15,25,10,0,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,FILOSOFIA
12031,722.75,I86S5C69J1V1,20,10,45,10,0,15,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,LICENCIATURA EN FISICA
12032,733.65,I86S5C62J1V1,20,20,35,10,0,15,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,LICENCIATURA EN ASTRONOMIA
12033,692.45,I86S5C1124J1V1,20,20,25,20,0,15,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,MEDICINA VETERINARIA
12034,602.35,I86S5C55J1V1,20,20,25,20,15,15,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,GEOGRAFIA
12035,637.65,I86S5C70J1V1,20,20,10,15,35,0,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,HISTORIA
12037,692.0,I86S5C64J1V1,20,25,20,20,15,0,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,CIENCIA POLITICA
12038,600.1,I86S5C28J1V1,20,30,30,10,0,10,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,CONSTRUCCION CIVIL
12039,757.2,I86S5C131J1V2,20,20,35,10,0,15,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,INGENIERIA CIVIL
12041,620.2,I86S5C567J1V1,20,20,40,10,0,10,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,PEDAGOGIA EN EDUCACION MEDIA EN CIENCIAS NATURALES Y BIOLOGIA
12042,625.3,I86S5C570J1V1,20,20,40,10,0,10,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,PEDAGOGIA EN EDUCACION MEDIA EN QUIMICA
12043,672.9,I86S5C569J1V1,20,20,40,10,0,10,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,PEDAGOGIA EN EDUCACION MEDIA EN MATEMATICA
12044,677.5,I86S5C568J1V1,20,20,40,10,0,10,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,PEDAGOGIA EN EDUCACION MEDIA EN FISICA
12046,687.55,I86S1C130J1V1,25,25,20,20,10,0,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,PERIODISMO - DIRECCION AUDIOVISUAL - PUBLICIDAD
12049,645.75,I86S5C644J1V1,20,10,45,10,0,15,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,ESTADISTICA
12050,573.0,I86S5C1125J1V1,20,30,30,10,0,10,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,PEDAGOGIA EN EDUCACION FISICA Y SALUD PARA EDUCACION BASICA Y MEDIA
12051,656.2,I86S5C648J1V1,20,10,45,10,0,15,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,MATEMATICA
12052,627.0,I86S5C1135J1V1,20,20,20,20,0,20,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,TERAPIA OCUPACIONAL
12054,638.8,I86S5C76J1V1,20,20,35,10,0,15,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,QUIMICA
12055,706.8,I86S5C202J1V1,20,20,35,10,0,15,0,Universidades,REGION METROPOLITANA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,QUIMICA Y FARMACIA
